split,n,random_Recall@1,random_Recall@5,random_Recall@10,image_to_gene_Recall@1,image_to_gene_Recall@5,image_to_gene_Recall@10,image_to_gene_Recall@50,image_to_gene_MedianRank,image_to_gene_MeanRank,image_to_gene_MRR,gene_to_image_Recall@1,gene_to_image_Recall@5,gene_to_image_Recall@10,gene_to_image_Recall@50,gene_to_image_MedianRank,gene_to_image_MeanRank,gene_to_image_MRR,mean_Recall@1,mean_Recall@5,mean_Recall@10,mean_MRR
train,5271,0.00018971732119142478,0.0009485866059571238,0.0018971732119142477,0.9485866059571239,0.9939290457218745,0.9977233921457029,1.0,1.0,1.1238854107380003,0.9688954935113159,0.9404287611458926,0.9935496110794916,0.9982925441092771,1.0,1.0,1.137545057863783,0.963911060218687,0.9445076835515083,0.993739328400683,0.99800796812749,0.9664032768650015
val,1129,0.0008857395925597874,0.0044286979627989375,0.008857395925597875,0.09565987599645705,0.25597874224977857,0.38972542072630645,0.7413640389725421,17.0,54.79450841452613,0.1881377440690095,0.09211691762621789,0.271036315323295,0.3932683790965456,0.7404782993799823,16.0,54.03720106288751,0.18803891944217485,0.09388839681133747,0.26350752878653677,0.391496899911426,0.18808833175559217
test,1130,0.0008849557522123894,0.004424778761061947,0.008849557522123894,0.08584070796460178,0.2929203539823009,0.4150442477876106,0.7061946902654868,17.0,61.4495575221239,0.19008870837581268,0.08584070796460178,0.2743362831858407,0.384070796460177,0.7106194690265487,17.0,60.03628318584071,0.18599352312226894,0.08584070796460178,0.2836283185840708,0.39955752212389384,0.1880411157490408
