epoch,train_loss,val_loss,val_image_to_gene_R@1,val_image_to_gene_R@5,val_image_to_gene_R@10,val_image_to_gene_MedianRank,val_image_to_gene_MeanRank,val_image_to_gene_MRR,val_gene_to_image_R@1,val_gene_to_image_R@5,val_gene_to_image_R@10,val_gene_to_image_MedianRank,val_gene_to_image_MeanRank,val_gene_to_image_MRR,val_mean_R@1,val_mean_R@5,val_mean_R@10
1,3.1082119941711426,2.4654349985114234,0.028343666344881058,0.11071744561195374,0.1966341882944107,44.0,80.80247497558594,0.08664687722921371,0.030115146189928055,0.10540300607681274,0.18954826891422272,44.0,83.33303833007812,0.08405178040266037,0.029229406267404556,0.10806022584438324,0.1930912286043167
2,2.099131738267294,2.088996880343786,0.04694419726729393,0.18069086968898773,0.286979615688324,24.0,54.79450607299805,0.1281166523694992,0.04871567711234093,0.15146146714687347,0.2701505720615387,27.0,57.08237075805664,0.12008798867464066,0.04782993718981743,0.1660761684179306,0.27856509387493134
3,1.613334647039088,1.9156530361665467,0.0628875121474266,0.21966341137886047,0.3401240110397339,20.0,46.14260482788086,0.15225957334041595,0.0628875121474266,0.18954826891422272,0.3294951319694519,22.0,48.47209930419922,0.14815182983875275,0.0628875121474266,0.2046058401465416,0.3348095715045929
4,1.288059694011037,1.8189995694308285,0.068201944231987,0.24092116951942444,0.3861824572086334,17.0,42.72098922729492,0.16590914130210876,0.07351638376712799,0.24092116951942444,0.36846765875816345,18.0,43.41275405883789,0.16861818730831146,0.0708591639995575,0.24092116951942444,0.37732505798339844
5,1.0465600083513957,1.7846307948799234,0.08591673523187637,0.24269264936447144,0.3897254168987274,16.0,41.341896057128906,0.17884089052677155,0.07528786361217499,0.24977855384349823,0.38086801767349243,17.0,42.8308219909668,0.1731395721435547,0.08060229942202568,0.24623560160398483,0.3852967172861099
6,0.8434117727163362,1.7714877872999206,0.08060230314731598,0.2621789276599884,0.4074402153491974,15.0,41.2072639465332,0.18130484223365784,0.07705934345722198,0.2701505720615387,0.3941541016101837,16.0,41.897254943847656,0.1810329705476761,0.07883082330226898,0.26616474986076355,0.40079715847969055
7,0.700936471543661,1.7646733888806867,0.08503100275993347,0.2666076123714447,0.4145261347293854,15.0,41.72098922729492,0.18399977684020996,0.08945969492197037,0.272807776927948,0.4074402153491974,16.0,41.187774658203125,0.19195380806922913,0.08724534884095192,0.26970769464969635,0.4109831750392914
8,0.5741901666652865,1.7473307531211522,0.08503100275993347,0.2683790922164917,0.4100974202156067,15.0,40.4986686706543,0.1870761215686798,0.09565987437963486,0.272807776927948,0.3994685411453247,16.0,41.49424362182617,0.19502371549606323,0.09034543856978416,0.27059343457221985,0.4047829806804657
9,0.48614510166935804,1.770680576430896,0.07705934345722198,0.2683790922164917,0.42692646384239197,15.0,41.79627990722656,0.18170784413814545,0.08768821507692337,0.271036297082901,0.4003542959690094,16.0,43.69530487060547,0.1892523318529129,0.08237377926707268,0.26970769464969635,0.4136403799057007
10,0.40735101191008966,1.7996230644922113,0.07971656322479248,0.2719220519065857,0.4065544605255127,15.0,45.178916931152344,0.18148531019687653,0.09211691468954086,0.2807794511318207,0.4074402153491974,16.0,44.02479934692383,0.19379320740699768,0.08591673895716667,0.2763507515192032,0.40699733793735504
