epoch,train_loss,val_loss,val_image_to_gene_R@1,val_image_to_gene_R@5,val_image_to_gene_R@10,val_image_to_gene_MedianRank,val_image_to_gene_MeanRank,val_image_to_gene_MRR,val_gene_to_image_R@1,val_gene_to_image_R@5,val_gene_to_image_R@10,val_gene_to_image_MedianRank,val_gene_to_image_MeanRank,val_gene_to_image_MRR,val_mean_R@1,val_mean_R@5,val_mean_R@10
11,0.35125224837442726,1.7915286696833568,0.08591673523187637,0.2683790922164917,0.4047829806804657,15.0,44.259521484375,0.18600334227085114,0.09123117476701736,0.2621789276599884,0.3968113362789154,16.0,44.98759841918945,0.19067269563674927,0.08857395499944687,0.26527900993824005,0.40079715847969055
12,0.3020131442604995,1.8170184591790022,0.08503100275993347,0.2790079712867737,0.4083259403705597,15.0,45.75642013549805,0.18848662078380585,0.09211691468954086,0.2790079712867737,0.4074402153491974,16.0,46.43046951293945,0.19444118440151215,0.08857395872473717,0.2790079712867737,0.40788307785987854
13,0.2629901743153246,1.8169259851859458,0.08680247515439987,0.276350736618042,0.421612024307251,15.0,46.66518783569336,0.18973445892333984,0.09477413445711136,0.278122216463089,0.4021257758140564,15.0,46.45083999633789,0.1953590214252472,0.09078830480575562,0.2772364765405655,0.4118689000606537
14,0.22852128653264628,1.878117788566542,0.08945969492197037,0.269264817237854,0.3950398564338684,17.0,51.02568435668945,0.18609453737735748,0.08680247515439987,0.2612931728363037,0.3897254168987274,16.0,50.27280807495117,0.1861022412776947,0.08813108503818512,0.26527899503707886,0.3923826366662979
15,0.19770438660208772,1.8787252534481147,0.08857395499944687,0.2621789276599884,0.3985828161239624,17.0,50.705047607421875,0.18547841906547546,0.09477413445711136,0.26572185754776,0.3976970613002777,17.0,50.55535888671875,0.19118788838386536,0.09167404472827911,0.2639503926038742,0.39813993871212006
16,0.18278464347850987,1.8910543836250677,0.08680247515439987,0.2736935317516327,0.4012400209903717,16.0,51.456153869628906,0.18642199039459229,0.09211691468954086,0.2648361325263977,0.3994685411453247,16.0,52.124000549316406,0.18882066011428833,0.08945969492197037,0.2692648321390152,0.4003542810678482
17,0.1540751477203718,1.9181863552073233,0.09565987437963486,0.2559787333011627,0.3897254168987274,17.0,54.79450607299805,0.18813775479793549,0.09211691468954086,0.271036297082901,0.3932683765888214,16.0,54.037200927734375,0.1880389004945755,0.09388839453458786,0.26350751519203186,0.3914968967437744
18,0.13777880352444766,1.9267840115130739,0.08237378299236298,0.2639504075050354,0.3914968967437744,17.0,54.42515563964844,0.18139930069446564,0.09920283406972885,0.2683790922164917,0.4003542959690094,17.0,53.7059326171875,0.19448637962341309,0.09078830853104591,0.26616474986076355,0.3959255963563919
19,0.12677903655098705,1.944459739462056,0.07794508337974548,0.274579256772995,0.38529670238494873,17.0,56.32506561279297,0.17767643928527832,0.09477413445711136,0.267493337392807,0.3985828161239624,16.0,55.379981994628906,0.18851794302463531,0.08635960891842842,0.271036297082901,0.39193975925445557
20,0.11480638412077253,1.9640307430676172,0.08680247515439987,0.2621789276599884,0.3906111419200897,18.0,57.958370208740234,0.18382295966148376,0.09123117476701736,0.26572185754776,0.3870681822299957,17.0,56.7440185546875,0.18424426019191742,0.08901682496070862,0.2639503926038742,0.3888396620750427
